Country Or Territory,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Austria,2405646,2005,NO2,446,30.3,32.8,903
Belgium,3030639,2005,NO2,745,32.4,35.1,1340
Bulgaria,3010927,2005,NO2,384,23.3,24.9,1225
Croatia,1100013,2005,NO2,195,26.6,28.0,429
Cyprus,418267,2005,NO2,131,20.3,21.0,61
Czechia,2464143,2005,NO2,536,26.4,27.6,831
Denmark,1490619,2005,NO2,400,22.5,24.1,394
Estonia,522560,2005,NO2,103,16.4,17.4,87
Finland,1188485,2005,NO2,427,21.1,21.9,230
France,21150065,2005,NO2,4382,29.9,34.2,7742
Germany,25479567,2005,NO2,6769,29.2,30.7,9800
Greece,5028484,2005,NO2,557,33.8,38.5,2510
Hungary,2785270,2005,NO2,577,26.4,28.3,1234
Ireland,1220552,2005,NO2,392,19.3,20.5,158
Italy,17439676,2005,NO2,4002,38.7,42.1,9965
Latvia,741235,2005,NO2,138,22.7,24.1,267
Lithuania,1068433,2005,NO2,181,19.8,20.8,258
Luxembourg,83390,2005,NO2,28,33.5,34.1,28
Malta,248805,2005,NO2,57,21.8,23.8,50
Netherlands,7635924,2005,NO2,1885,31.4,32.7,2642
Poland,11415909,2005,NO2,2178,23.0,24.3,2814
Portugal,3342853,2005,NO2,712,27.3,29.4,1213
Romania,6911176,2005,NO2,849,24.9,27.7,2698
Slovakia,745077,2005,NO2,159,22.8,23.8,181
Slovenia,289579,2005,NO2,76,27.9,29.3,91
Spain,21279144,2005,NO2,2439,29.8,34.3,8378
Sweden,2680823,2005,NO2,778,18.7,20.0,505
Austria,2405646,2005,O3,446,5315.4,5352.2,128
Belgium,3030639,2005,O3,745,2615.6,2477.7,80
Bulgaria,3010927,2005,O3,384,3982.8,3810.8,193
Croatia,1100013,2005,O3,195,5961.4,5992.8,87
Cyprus,418267,2005,O3,131,7568.4,7542.7,25
Czechia,2464143,2005,O3,536,5512.3,5460.2,154
Denmark,1490619,2005,O3,400,1910.1,1850.5,32
Estonia,522560,2005,O3,103,2016.6,1987.7,14
Finland,1188485,2005,O3,427,2094.1,2056.6,24
France,21150065,2005,O3,4382,4045.5,3814.6,753
Germany,25479567,2005,O3,6769,3385.0,3389.3,975
Greece,5028484,2005,O3,557,7240.7,7038.2,381
Hungary,2785270,2005,O3,577,5372.1,5311.0,219
Ireland,1220552,2005,O3,392,1233.5,1193.9,12
Italy,17439676,2005,O3,4002,7265.2,7011.8,1348
Latvia,741235,2005,O3,138,1486.8,1338.7,15
Lithuania,1068433,2005,O3,181,3316.7,3307.2,49
Luxembourg,83390,2005,O3,28,2617.6,2604.1,2
Malta,248805,2005,O3,57,7024.2,6957.2,15
Netherlands,7635924,2005,O3,1885,2419.2,2367.3,165
Poland,11415909,2005,O3,2178,4398.2,4352.9,522
Portugal,3342853,2005,O3,712,4545.6,4441.9,170
Romania,6911176,2005,O3,849,4278.5,4200.5,398
Slovakia,745077,2005,O3,159,5775.6,5752.5,46
Slovenia,289579,2005,O3,76,5616.5,5554.4,16
Spain,21279144,2005,O3,2439,5544.7,5211.5,1109
Sweden,2680823,2005,O3,778,2395.9,2381.8,72
Austria,2405646,2005,PM2.5,446,21.6,22.0,2504
Belgium,3030639,2005,PM2.5,745,19.0,19.3,2875
Bulgaria,3010927,2005,PM2.5,384,34.2,34.6,8572
Croatia,1100013,2005,PM2.5,195,25.5,25.5,1791
Cyprus,418267,2005,PM2.5,131,29.5,29.6,486
Czechia,2464143,2005,PM2.5,536,24.4,24.6,3390
Denmark,1490619,2005,PM2.5,400,13.4,13.2,873
