City,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Berlin,3346622,2005,PM2.5,643,19.1,3288
Berlin,3339080,2007,PM2.5,642,14.4,2231
Berlin,3335140,2008,PM2.5,643,16.0,2640
Berlin,3326402,2009,PM2.5,642,17.9,3109
Berlin,3318283,2010,PM2.5,643,19.9,3595
Berlin,3254181,2011,PM2.5,642,19.5,3488
Berlin,3258477,2012,PM2.5,642,15.5,2620
Berlin,3266421,2013,PM2.5,643,14.9,2543
Berlin,3276306,2014,PM2.5,642,17.9,3167
Berlin,3293753,2015,PM2.5,642,15.1,2668
Berlin,3333429,2016,PM2.5,642,15.4,2692
Berlin,3347466,2017,PM2.5,642,15.2,2708
Berlin,3358449,2018,PM2.5,643,15.7,2895
Berlin,3367648,2019,PM2.5,642,12.4,2009
Berlin,3373631,2020,PM2.5,643,11.2,1780
Berlin,3373159,2021,PM2.5,642,12.3,2161
