City,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Helsinki / Helsingfors,773939,2005,PM2.5,262,10.6,271
Helsinki / Helsingfors,779901,2007,PM2.5,262,10.1,256
Helsinki / Helsingfors,783379,2008,PM2.5,262,8.4,170
Helsinki / Helsingfors,787196,2009,PM2.5,262,8.8,192
Helsinki / Helsingfors,790908,2010,PM2.5,262,8.9,205
Helsinki / Helsingfors,794432,2011,PM2.5,262,8.8,196
Helsinki / Helsingfors,798274,2012,PM2.5,262,8.2,172
Helsinki / Helsingfors,802029,2013,PM2.5,262,7.2,119
Helsinki / Helsingfors,805664,2014,PM2.5,262,8.6,193
Helsinki / Helsingfors,808692,2015,PM2.5,262,6.1,59
Helsinki / Helsingfors,810990,2016,PM2.5,262,7.1,116
Helsinki / Helsingfors,813354,2017,PM2.5,262,6.5,85
Helsinki / Helsingfors,814807,2018,PM2.5,262,8.3,188
Helsinki / Helsingfors,815514,2019,PM2.5,262,6.2,71
Helsinki / Helsingfors,816604,2020,PM2.5,262,5.7,41
Helsinki / Helsingfors,817861,2021,PM2.5,262,6.1,68
