City,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Ljubljana,208374,2005,PM2.5,55,25.2,252
Ljubljana,209708,2007,PM2.5,55,18.6,172
Ljubljana,209697,2008,PM2.5,55,20.0,187
Ljubljana,212001,2009,PM2.5,55,22.8,226
Ljubljana,213526,2010,PM2.5,55,20.5,197
Ljubljana,213861,2011,PM2.5,55,22.5,223
Ljubljana,214414,2012,PM2.5,55,19.4,192
Ljubljana,214761,2013,PM2.5,55,18.7,184
Ljubljana,214997,2014,PM2.5,55,16.3,152
Ljubljana,215184,2015,PM2.5,55,22.1,236
Ljubljana,215321,2016,PM2.5,55,21.3,223
Ljubljana,215499,2017,PM2.5,55,21.1,229
Ljubljana,215602,2018,PM2.5,55,20.8,225
Ljubljana,217065,2019,PM2.5,55,18.6,195
Ljubljana,218625,2020,PM2.5,55,17.1,206
Ljubljana,219993,2021,PM2.5,55,17.2,207
