City,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Milano,2746134,2005,PM2.5,670,35.3,5318
Milano,2762695,2007,PM2.5,671,30.9,4664
Milano,2783058,2008,PM2.5,670,28.5,4380
Milano,2799555,2009,PM2.5,671,27.1,4185
Milano,2808551,2010,PM2.5,671,24.4,3699
Milano,2816831,2011,PM2.5,670,35.7,5655
Milano,2818232,2012,PM2.5,671,31.5,5132
Milano,2832042,2013,PM2.5,671,29.4,4669
Milano,2884115,2014,PM2.5,671,23.9,3676
Milano,2884731,2015,PM2.5,671,27.4,4654
Milano,2878558,2016,PM2.5,671,26.7,4284
Milano,2874946,2017,PM2.5,670,30.3,5208
Milano,2869943,2018,PM2.5,671,21.4,3407
Milano,2838278,2019,PM2.5,670,19.1,2973
Milano,2829967,2020,PM2.5,671,21.7,4094
Milano,2810737,2021,PM2.5,671,19.4,3523
