City,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Paris,8665203,2005,PM2.5,1281,18.7,6774
Paris,8785606,2007,PM2.5,1281,15.9,5408
Paris,8835589,2008,PM2.5,1281,17.0,6044
Paris,8882947,2009,PM2.5,1281,20.1,7618
Paris,8925551,2010,PM2.5,1281,19.4,7320
Paris,8969706,2011,PM2.5,1281,19.6,7367
Paris,9010877,2012,PM2.5,1280,18.9,7350
Paris,9055511,2013,PM2.5,1281,18.3,7065
Paris,9133592,2014,PM2.5,1281,13.5,4524
Paris,9173928,2015,PM2.5,1281,15.3,5784
Paris,9198804,2016,PM2.5,1280,14.3,5252
Paris,9222470,2017,PM2.5,1281,13.1,4668
Paris,9252339,2018,PM2.5,1281,13.7,5001
Paris,9273245,2019,PM2.5,1280,11.6,3858
Paris,9292924,2020,PM2.5,1281,10.3,3403
Paris,9339374,2021,PM2.5,1281,11.7,4376
