City,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Zagreb,671002,2005,PM2.5,119,27.8,1205
Zagreb,671418,2007,PM2.5,119,20.4,851
Zagreb,671175,2008,PM2.5,119,20.0,823
Zagreb,670836,2009,PM2.5,119,22.6,964
Zagreb,669755,2010,PM2.5,119,22.1,937
Zagreb,667733,2011,PM2.5,119,23.4,982
Zagreb,665573,2012,PM2.5,119,18.1,724
Zagreb,663419,2013,PM2.5,119,19.7,784
Zagreb,661032,2014,PM2.5,119,18.7,744
Zagreb,657687,2015,PM2.5,119,21.3,935
Zagreb,652294,2016,PM2.5,119,24.5,1046
Zagreb,646619,2017,PM2.5,119,21.6,941
Zagreb,639036,2018,PM2.5,119,22.2,952
Zagreb,634483,2019,PM2.5,119,17.7,706
Zagreb,631669,2020,PM2.5,119,17.8,787
Zagreb,628274,2021,PM2.5,119,17.9,791
