City,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
milan,2746134,2005,PM2.5,670,35.3,5318
milan,2762695,2007,PM2.5,671,30.9,4664
milan,2783058,2008,PM2.5,670,28.5,4380
milan,2799555,2009,PM2.5,671,27.1,4185
milan,2808551,2010,PM2.5,671,24.4,3699
milan,2816831,2011,PM2.5,670,35.7,5655
milan,2818232,2012,PM2.5,671,31.5,5132
milan,2832042,2013,PM2.5,671,29.4,4669
milan,2884115,2014,PM2.5,671,23.9,3676
milan,2884731,2015,PM2.5,671,27.4,4654
milan,2878558,2016,PM2.5,671,26.7,4284
milan,2874946,2017,PM2.5,670,30.3,5208
milan,2869943,2018,PM2.5,671,21.4,3407
milan,2838278,2019,PM2.5,670,19.1,2973
milan,2829967,2020,PM2.5,671,21.7,4094
milan,2810737,2021,PM2.5,671,19.4,3523
berlin,3346622,2005,PM2.5,643,19.1,3288
berlin,3339080,2007,PM2.5,642,14.4,2231
berlin,3335140,2008,PM2.5,643,16.0,2640
berlin,3326402,2009,PM2.5,642,17.9,3109
berlin,3318283,2010,PM2.5,643,19.9,3595
berlin,3254181,2011,PM2.5,642,19.5,3488
berlin,3258477,2012,PM2.5,642,15.5,2620
berlin,3266421,2013,PM2.5,643,14.9,2543
berlin,3276306,2014,PM2.5,642,17.9,3167
berlin,3293753,2015,PM2.5,642,15.1,2668
berlin,3333429,2016,PM2.5,642,15.4,2692
berlin,3347466,2017,PM2.5,642,15.2,2708
berlin,3358449,2018,PM2.5,643,15.7,2895
berlin,3367648,2019,PM2.5,642,12.4,2009
berlin,3373631,2020,PM2.5,643,11.2,1780
berlin,3373159,2021,PM2.5,642,12.3,2161
paris,8665203,2005,PM2.5,1281,18.7,6774
paris,8785606,2007,PM2.5,1281,15.9,5408
paris,8835589,2008,PM2.5,1281,17.0,6044
paris,8882947,2009,PM2.5,1281,20.1,7618
paris,8925551,2010,PM2.5,1281,19.4,7320
paris,8969706,2011,PM2.5,1281,19.6,7367
paris,9010877,2012,PM2.5,1280,18.9,7350
paris,9055511,2013,PM2.5,1281,18.3,7065
paris,9133592,2014,PM2.5,1281,13.5,4524
paris,9173928,2015,PM2.5,1281,15.3,5784
paris,9198804,2016,PM2.5,1280,14.3,5252
paris,9222470,2017,PM2.5,1281,13.1,4668
paris,9252339,2018,PM2.5,1281,13.7,5001
paris,9273245,2019,PM2.5,1280,11.6,3858
paris,9292924,2020,PM2.5,1281,10.3,3403
paris,9339374,2021,PM2.5,1281,11.7,4376
warsaw,1709825,2005,PM2.5,303,22.9,1944
warsaw,1707661,2007,PM2.5,303,20.7,1767
warsaw,1707219,2008,PM2.5,302,24.8,2202
warsaw,1708125,2009,PM2.5,302,23.2,2075
warsaw,1703065,2010,PM2.5,303,29.3,2670
warsaw,1704848,2011,PM2.5,302,27.6,2489
warsaw,1704898,2012,PM2.5,303,27.5,2544
warsaw,1704841,2013,PM2.5,303,24.6,2263
warsaw,1702838,2014,PM2.5,303,25.9,2335
warsaw,1702291,2015,PM2.5,303,25.7,2450
warsaw,1700571,2016,PM2.5,303,23.2,2133
warsaw,1700829,2017,PM2.5,302,23.6,2267
warsaw,1700996,2018,PM2.5,303,23.1,2271
warsaw,1700821,2019,PM2.5,302,20.6,1964
warsaw,1700164,2020,PM2.5,302,18.9,2051
warsaw,1694872,2021,PM2.5,303,21.2,2586
amsterdam,1042831,2005,PM2.5,215,18.6,818
amsterdam,1046187,2007,PM2.5,215,17.3,722
amsterdam,1049219,2008,PM2.5,214,18.0,778
amsterdam,1054359,2009,PM2.5,215,18.0,770
amsterdam,1060065,2010,PM2.5,215,17.7,765
amsterdam,1065233,2011,PM2.5,215,17.3,739
amsterdam,1070002,2012,PM2.5,215,14.0,571
amsterdam,1073149,2013,PM2.5,215,14.1,580
amsterdam,1076328,2014,PM2.5,215,14.4,585
amsterdam,1080898,2015,PM2.5,215,12.5,498
amsterdam,1085912,2016,PM2.5,214,11.8,456
amsterdam,1092460,2017,PM2.5,215,11.7,455
amsterdam,1098829,2018,PM2.5,215,12.7,526
amsterdam,1105293,2019,PM2.5,215,11.1,421
amsterdam,1113314,2020,PM2.5,215,9.4,334
amsterdam,1117652,2021,PM2.5,215,9.8,371
dublin,1009009,2015,PM2.5,266,7.8,130
dublin,1019505,2016,PM2.5,266,8.2,152
dublin,1032037,2017,PM2.5,266,7.2,104
dublin,1041962,2018,PM2.5,266,8.9,189
dublin,1057892,2019,PM2.5,266,8.6,172
dublin,1070877,2020,PM2.5,266,7.3,117
dublin,1079912,2021,PM2.5,266,7.2,113
dublin,886927,2005,PM2.5,266,8.9,163
dublin,936205,2007,PM2.5,266,6.7,74
dublin,961582,2008,PM2.5,266,9.9,187
dublin,975293,2009,PM2.5,266,9.6,194
dublin,981355,2010,PM2.5,266,11.0,244
dublin,985982,2011,PM2.5,266,9.5,189
dublin,989953,2012,PM2.5,266,8.9,167
dublin,994373,2013,PM2.5,266,9.7,209
dublin,1000429,2014,PM2.5,266,9.6,204
ljubljana,208374,2005,PM2.5,55,25.2,252
ljubljana,209708,2007,PM2.5,55,18.6,172
ljubljana,209697,2008,PM2.5,55,20.0,187
ljubljana,212001,2009,PM2.5,55,22.8,226
ljubljana,213526,2010,PM2.5,55,20.5,197
ljubljana,213861,2011,PM2.5,55,22.5,223
ljubljana,214414,2012,PM2.5,55,19.4,192
ljubljana,214761,2013,PM2.5,55,18.7,184
ljubljana,214997,2014,PM2.5,55,16.3,152
ljubljana,215184,2015,PM2.5,55,22.1,236
ljubljana,215321,2016,PM2.5,55,21.3,223
ljubljana,215499,2017,PM2.5,55,21.1,229
ljubljana,215602,2018,PM2.5,55,20.8,225
ljubljana,217065,2019,PM2.5,55,18.6,195
ljubljana,218625,2020,PM2.5,55,17.1,206
ljubljana,219993,2021,PM2.5,55,17.2,207
stockholm,1122703,2005,PM2.5,292,12.4,597
stockholm,1135394,2007,PM2.5,292,9.9,397
stockholm,1144074,2008,PM2.5,292,9.2,344
