Country Or Territory,Degree Of Urbanisation,Year,Air Pollutant,Health Risk Scenario,Population,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Italy","All Areas (incl.unclassified)","2005","PM2.5","WHO_2021_AQG_Scen_Base","57874416","169658","19.5","23.8","72047","55584","79956","748349","577222","830365"
"Italy","All Areas (incl.unclassified)","2007","PM2.5","WHO_2021_AQG_Scen_Base","58211521","169581","17.2","20.5","60784","46716","67538","643670","494853","715352"
"Italy","All Areas (incl.unclassified)","2008","PM2.5","WHO_2021_AQG_Scen_Base","58640573","169581","16.5","19.6","58906","45251","65489","614881","472334","683597"
"Italy","All Areas (incl.unclassified)","2009","PM2.5","WHO_2021_AQG_Scen_Base","59000230","169658","15.9","19.3","58398","44871","64937","611571","469774","679982"
"Italy","All Areas (incl.unclassified)","2010","PM2.5","WHO_2021_AQG_Scen_Base","59184399","169638","14.5","17.8","52232","40104","58100","551462","423273","613407"
"Italy","All Areas (incl.unclassified)","2011","PM2.5","WHO_2021_AQG_Scen_Base","59364358","169658","16.7","21.4","66469","51174","73806","703461","541752","781163"
"Italy","All Areas (incl.unclassified)","2012","PM2.5","WHO_2021_AQG_Scen_Base","59393889","169658","15.2","19.3","60447","46457","67160","621089","477497","690272"
"Italy","All Areas (incl.unclassified)","2013","PM2.5","WHO_2021_AQG_Scen_Base","59684888","169658","14.0","18.2","55103","42315","61293","588675","451997","654662"
"Italy","All Areas (incl.unclassified)","2014","PM2.5","WHO_2021_AQG_Scen_Base","60777039","169642","12.7","15.9","45701","34988","50879","490532","375672","546201"
"Italy","All Areas (incl.unclassified)","2015","PM2.5","WHO_2021_AQG_Scen_Base","60795294","169658","14.3","18.5","60986","46839","67816","603795","463689","671409"
"Italy","All Areas (incl.unclassified)","2016","PM2.5","WHO_2021_AQG_Scen_Base","60665236","169658","12.5","16.6","49618","38037","55208","518044","397227","576471"
"Italy","All Areas (incl.unclassified)","2017","PM2.5","WHO_2021_AQG_Scen_Base","60589104","169658","13.3","17.1","54674","41958","60804","535793","411405","595841"
"Italy","All Areas (incl.unclassified)","2018","PM2.5","WHO_2021_AQG_Scen_Base","60483667","169658","12.7","15.5","46884","35893","52197","473138","362336","526848"
"Italy","All Areas (incl.unclassified)","2019","PM2.5","WHO_2021_AQG_Scen_Base","59816350","169658","12.0","14.5","42658","32628","47542","425504","325491","474073"
"Italy","All Areas (incl.unclassified)","2020","PM2.5","WHO_2021_AQG_Scen_Base","59641163","169658","11.9","15.0","52295","40044","58246","464352","355512","517138"
"Italy","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","59235907","169658","11.2","13.9","46792","35782","52139","415377","317574","462900"
