City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2405646","2005","NO2","WHO_2021_AQG_Scen_Base","446","30.3","32.8","903","458","1747","9825","4995","19024"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3030639","2005","NO2","WHO_2021_AQG_Scen_Base","745","32.4","35.1","1340","684","2589","14366","7312","27741"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","3010927","2005","NO2","WHO_2021_AQG_Scen_Base","384","23.3","24.9","1225","623","2387","13238","6709","25785"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","418267","2005","NO2","WHO_2021_AQG_Scen_Base","131","20.3","21.0","61","31","119","637","322","1248"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2464143","2005","NO2","WHO_2021_AQG_Scen_Base","536","26.4","27.6","831","421","1612","9134","4630","17772"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25479567","2005","NO2","WHO_2021_AQG_Scen_Base","6769","29.2","30.7","9800","4963","18987","110494","56118","214236"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1490619","2005","NO2","WHO_2021_AQG_Scen_Base","400","22.5","24.1","394","199","768","4334","2193","8458"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","522560","2005","NO2","WHO_2021_AQG_Scen_Base","103","16.4","17.4","87","45","173","1035","521","2032"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","21279144","2005","NO2","WHO_2021_AQG_Scen_Base","2439","29.8","34.3","8378","4266","16161","91938","46832","177288"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1188485","2005","NO2","WHO_2021_AQG_Scen_Base","427","21.1","21.9","230","116","450","2792","1411","5465"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21150065","2005","NO2","WHO_2021_AQG_Scen_Base","4382","29.9","34.2","7742","3942","14926","92292","47003","177995"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5028484","2005","NO2","WHO_2021_AQG_Scen_Base","557","33.8","38.5","2510","1281","4822","27824","14200","53455"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1100013","2005","NO2","WHO_2021_AQG_Scen_Base","195","26.6","28.0","429","217","834","4684","2375","9109"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2785270","2005","NO2","WHO_2021_AQG_Scen_Base","577","26.4","28.3","1234","629","2395","14781","7500","28710"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1220552","2005","NO2","WHO_2021_AQG_Scen_Base","392","19.3","20.5","158","79","307","1796","907","3514"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17439676","2005","NO2","WHO_2021_AQG_Scen_Base","4002","38.7","42.1","9965","5094","19087","103506","52910","198251"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1068433","2005","NO2","WHO_2021_AQG_Scen_Base","181","19.8","20.8","258","129","505","3183","1609","6234"
