City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2405646","2005","O3","WHO_2021_AQG_Scen_Base","446","5315.4","5352.2","128","103","157","1503","1191","1816"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3030639","2005","O3","WHO_2021_AQG_Scen_Base","745","2615.6","2477.7","80","65","98","915","724","1109"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","3010927","2005","O3","WHO_2021_AQG_Scen_Base","384","3982.8","3810.8","193","151","231","2234","1768","2699"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","418267","2005","O3","WHO_2021_AQG_Scen_Base","131","7568.4","7542.7","25","20","30","287","227","347"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2464143","2005","O3","WHO_2021_AQG_Scen_Base","536","5512.3","5460.2","154","124","189","1804","1430","2180"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25479567","2005","O3","WHO_2021_AQG_Scen_Base","6769","3385.0","3389.3","975","767","1173","11500","9089","13887"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1490619","2005","O3","WHO_2021_AQG_Scen_Base","400","1910.1","1850.5","32","26","38","365","288","442"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","522560","2005","O3","WHO_2021_AQG_Scen_Base","103","2016.6","1987.7","14","11","17","177","140","213"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","21279144","2005","O3","WHO_2021_AQG_Scen_Base","2439","5544.7","5211.5","1109","878","1339","12973","10267","15669"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1188485","2005","O3","WHO_2021_AQG_Scen_Base","427","2094.1","2056.6","24","19","29","305","241","370"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21150065","2005","O3","WHO_2021_AQG_Scen_Base","4382","4045.5","3814.6","753","594","910","9582","7579","11574"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5028484","2005","O3","WHO_2021_AQG_Scen_Base","557","7240.7","7038.2","381","303","463","4488","3555","5422"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1100013","2005","O3","WHO_2021_AQG_Scen_Base","195","5961.4","5992.8","87","69","106","1003","795","1212"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2785270","2005","O3","WHO_2021_AQG_Scen_Base","577","5372.1","5311.0","219","171","266","2755","2180","3326"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1220552","2005","O3","WHO_2021_AQG_Scen_Base","392","1233.5","1193.9","12","7","15","138","110","168"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17439676","2005","O3","WHO_2021_AQG_Scen_Base","4002","7265.2","7011.8","1348","1065","1622","14649","11602","17695"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1068433","2005","O3","WHO_2021_AQG_Scen_Base","181","3316.7","3307.2","49","38","58","631","499","762"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","83390","2005","O3","WHO_2021_AQG_Scen_Base","28","2617.6","2604.1","2","1","2","22","18","27"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","741235","2005","O3","WHO_2021_AQG_Scen_Base","138","1486.8","1338.7","15","13","19","197","157","238"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","248805","2005","O3","WHO_2021_AQG_Scen_Base","57","7024.2","6957.2","15","12","18","165","131","199"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7635924","2005","O3","WHO_2021_AQG_Scen_Base","1885","2419.2","2367.3","165","128","207","2037","1612","2464"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11415909","2005","O3","WHO_2021_AQG_Scen_Base","2178","4398.2","4352.9","522","410","634","7120","5637","8603"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3342853","2005","O3","WHO_2021_AQG_Scen_Base","712","4545.6","4441.9","170","134","206","2006","1590","2428"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6911176","2005","O3","WHO_2021_AQG_Scen_Base","849","4278.5","4200.5","398","312","478","4994","3956","6037"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2680823","2005","O3","WHO_2021_AQG_Scen_Base","778","2395.9","2381.8","72","59","86","738","582","891"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","289579","2005","O3","WHO_2021_AQG_Scen_Base","76","5616.5","5554.4","16","13","20","196","155","237"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","745077","2005","O3","WHO_2021_AQG_Scen_Base","159","5775.6","5752.5","46","35","56","577","454","695"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2421172","2006","O3","WHO_2021_AQG_Scen_Base","446","5581.5","5608.0","135","107","162","1565","1239","1891"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2449723","2010","O3","WHO_2021_AQG_Scen_Base","446","4514.3","4533.3","113","90","136","1352","1070","1635"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3144965","2010","O3","WHO_2021_AQG_Scen_Base","745","2361.8","2326.9","78","60","94","923","730","1115"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2906441","2010","O3","WHO_2021_AQG_Scen_Base","384","3807.7","3706.3","183","145","221","2082","1647","2517"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","467377","2010","O3","WHO_2021_AQG_Scen_Base","131","7076.8","7092.4","22","18","27","276","218","333"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2527742","2010","O3","WHO_2021_AQG_Scen_Base","536","3915.1","3883.3","110","90","133","1336","1057","1615"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25264126","2010","O3","WHO_2021_AQG_Scen_Base","6769","3440.9","3444.5","1017","810","1241","12186","9643","14726"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1524594","2010","O3","WHO_2021_AQG_Scen_Base","400","2001.2","1990.6","33","25","41","391","310","473"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","512730","2010","O3","WHO_2021_AQG_Scen_Base","103","2885.2","2915.8","19","15","23","239","189","289"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22847104","2010","O3","WHO_2021_AQG_Scen_Base","2439","5759.8","5665.3","1192","946","1439","14712","11644","17775"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1214543","2010","O3","WHO_2021_AQG_Scen_Base","427","2148.5","2187.8","28","22","33","331","261","400"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21785655","2010","O3","WHO_2021_AQG_Scen_Base","4382","3860.5","3751.2","754","600","921","10172","8046","12284"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5096959","2010","O3","WHO_2021_AQG_Scen_Base","557","7849.0","7888.2","446","354","541","5112","4051","6175"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1097969","2010","O3","WHO_2021_AQG_Scen_Base","195","4821.8","4753.0","71","56","85","797","631","963"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2762313","2010","O3","WHO_2021_AQG_Scen_Base","577","3970.0","3918.4","156","122","189","1964","1555","2376"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1350501","2010","O3","WHO_2021_AQG_Scen_Base","392","1001.7","956.9","7","6","10","109","86","132"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17836054","2010","O3","WHO_2021_AQG_Scen_Base","4002","6265.1","6057.7","1210","955","1460","13229","10483","15984"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1000527","2010","O3","WHO_2021_AQG_Scen_Base","181","2188.4","2152.4","30","23","37","386","307","468"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","90773","2010","O3","WHO_2021_AQG_Scen_Base","28","3290.6","3287.1","2","2","3","30","24","37"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","698661","2010","O3","WHO_2021_AQG_Scen_Base","138","2137.0","2051.5","22","17","26","276","219","335"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","255823","2010","O3","WHO_2021_AQG_Scen_Base","57","6669.9","6606.6","14","11","17","176","140","213"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7762113","2010","O3","WHO_2021_AQG_Scen_Base","1885","1802.3","1747.4","122","100","152","1529","1208","1851"
