City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2405646","2005","PM2.5","WHO_2021_AQG_Scen_Base","446","21.6","22.0","2504","1925","2781","27256","20964","30287"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3030639","2005","PM2.5","WHO_2021_AQG_Scen_Base","745","19.0","19.3","2875","2207","3198","30835","23659","34302"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","3010927","2005","PM2.5","WHO_2021_AQG_Scen_Base","384","34.2","34.6","8572","6678","9466","92565","72123","102205"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","418267","2005","PM2.5","WHO_2021_AQG_Scen_Base","131","29.5","29.6","486","377","539","5112","3959","5662"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2464143","2005","PM2.5","WHO_2021_AQG_Scen_Base","536","24.4","24.6","3390","2615","3763","37362","28823","41454"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25479567","2005","PM2.5","WHO_2021_AQG_Scen_Base","6769","17.1","17.3","22047","16891","24535","248788","190545","276997"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1490619","2005","PM2.5","WHO_2021_AQG_Scen_Base","400","13.4","13.2","873","666","976","9620","7340","10731"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","522560","2005","PM2.5","WHO_2021_AQG_Scen_Base","103","13.0","13.0","359","273","400","4239","3233","4729"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","21279144","2005","PM2.5","WHO_2021_AQG_Scen_Base","2439","19.2","19.8","19250","14782","21408","211167","162165","234818"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1188485","2005","PM2.5","WHO_2021_AQG_Scen_Base","427","10.3","10.4","399","305","445","4848","3690","5414"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21150065","2005","PM2.5","WHO_2021_AQG_Scen_Base","4382","17.4","18.0","15803","12117","17586","188441","144435","209743"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5028484","2005","PM2.5","WHO_2021_AQG_Scen_Base","557","29.2","30.6","8154","6324","9022","90395","70116","100029"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1100013","2005","PM2.5","WHO_2021_AQG_Scen_Base","195","25.5","25.5","1791","1383","1988","19558","15097","21695"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2785270","2005","PM2.5","WHO_2021_AQG_Scen_Base","577","26.1","26.2","5246","4050","5819","62849","48520","69706"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1220552","2005","PM2.5","WHO_2021_AQG_Scen_Base","392","8.8","9.0","229","174","256","2609","1982","2915"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17439676","2005","PM2.5","WHO_2021_AQG_Scen_Base","4002","26.7","26.7","24896","19244","27592","258578","199932","286582"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1068433","2005","PM2.5","WHO_2021_AQG_Scen_Base","181","17.9","17.9","1153","883","1284","14233","10904","15844"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","83390","2005","PM2.5","WHO_2021_AQG_Scen_Base","28","16.6","16.7","51","39","57","599","458","667"
