City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","1009009","2015","PM2.5","WHO_2021_AQG_Scen_Base","266","7.6","7.8","130","99","145","1465","1113","1639"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","1019505","2016","PM2.5","WHO_2021_AQG_Scen_Base","266","8.0","8.2","152","115","169","1723","1309","1927"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","1032037","2017","PM2.5","WHO_2021_AQG_Scen_Base","266","7.0","7.2","104","79","116","1200","911","1342"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","1041962","2018","PM2.5","WHO_2021_AQG_Scen_Base","266","8.7","8.9","189","143","211","2235","1699","2497"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","1057892","2019","PM2.5","WHO_2021_AQG_Scen_Base","266","8.4","8.6","172","131","192","2065","1569","2309"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","1070877","2020","PM2.5","WHO_2021_AQG_Scen_Base","266","7.3","7.3","117","89","131","1394","1058","1559"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","1079912","2021","PM2.5","WHO_2021_AQG_Scen_Base","266","7.2","7.2","113","86","127","1351","1025","1511"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","886927","2005","PM2.5","WHO_2021_AQG_Scen_Base","266","8.6","8.9","163","124","183","1860","1413","2078"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","936205","2007","PM2.5","WHO_2021_AQG_Scen_Base","266","6.7","6.7","74","56","83","862","654","965"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","961582","2008","PM2.5","WHO_2021_AQG_Scen_Base","266","9.9","9.9","187","143","209","2045","1555","2284"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","975293","2009","PM2.5","WHO_2021_AQG_Scen_Base","266","9.3","9.6","194","148","217","2340","1780","2615"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","981355","2010","PM2.5","WHO_2021_AQG_Scen_Base","266","11.0","11.0","244","186","273","2856","2175","3190"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","985982","2011","PM2.5","WHO_2021_AQG_Scen_Base","266","9.5","9.5","189","144","211","2210","1680","2470"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","989953","2012","PM2.5","WHO_2021_AQG_Scen_Base","266","8.8","8.9","167","127","187","1892","1437","2115"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","994373","2013","PM2.5","WHO_2021_AQG_Scen_Base","266","9.7","9.7","209","159","234","2377","1808","2656"
"Urban Centres (grid)","Ireland","Dublin","GEOSTAT11_084","1000429","2014","PM2.5","WHO_2021_AQG_Scen_Base","266","9.5","9.6","204","155","228","2378","1808","2657"
