City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","773939","2005","PM2.5","WHO_2021_AQG_Scen_Base","262","10.6","10.6","271","207","303","3296","2509","3681"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","779901","2007","PM2.5","WHO_2021_AQG_Scen_Base","262","10.2","10.1","256","195","286","3044","2316","3400"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","783379","2008","PM2.5","WHO_2021_AQG_Scen_Base","262","8.5","8.4","170","129","190","2029","1541","2269"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","787196","2009","PM2.5","WHO_2021_AQG_Scen_Base","262","8.8","8.8","192","146","215","2276","1729","2544"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","790908","2010","PM2.5","WHO_2021_AQG_Scen_Base","262","9.0","8.9","205","156","229","2381","1810","2662"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","794432","2011","PM2.5","WHO_2021_AQG_Scen_Base","262","8.8","8.8","196","149","219","2267","1723","2534"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","798274","2012","PM2.5","WHO_2021_AQG_Scen_Base","262","8.2","8.2","172","131","193","1957","1486","2188"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","802029","2013","PM2.5","WHO_2021_AQG_Scen_Base","262","7.2","7.2","119","90","133","1350","1025","1510"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","805664","2014","PM2.5","WHO_2021_AQG_Scen_Base","262","8.5","8.6","193","147","216","2158","1639","2412"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","808692","2015","PM2.5","WHO_2021_AQG_Scen_Base","262","6.0","6.1","59","45","66","652","494","729"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","810990","2016","PM2.5","WHO_2021_AQG_Scen_Base","262","7.0","7.1","116","88","130","1261","957","1410"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","813354","2017","PM2.5","WHO_2021_AQG_Scen_Base","262","6.5","6.5","85","64","95","930","706","1040"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","814807","2018","PM2.5","WHO_2021_AQG_Scen_Base","262","8.3","8.3","188","143","211","2012","1528","2249"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","815514","2019","PM2.5","WHO_2021_AQG_Scen_Base","262","6.4","6.2","71","54","79","769","583","861"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","816604","2020","PM2.5","WHO_2021_AQG_Scen_Base","262","5.7","5.7","41","31","46","447","339","501"
"Urban Centres (grid)","Finland","Helsinki / Helsingfors","GEOSTAT11_008","817861","2021","PM2.5","WHO_2021_AQG_Scen_Base","262","6.1","6.1","68","51","76","710","538","794"
