City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","208374","2005","PM2.5","WHO_2021_AQG_Scen_Base","55","25.0","25.2","252","194","279","2948","2273","3271"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","209708","2007","PM2.5","WHO_2021_AQG_Scen_Base","55","18.6","18.6","172","132","192","2134","1636","2374"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","209697","2008","PM2.5","WHO_2021_AQG_Scen_Base","55","19.7","20.0","187","144","208","2343","1799","2606"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","212001","2009","PM2.5","WHO_2021_AQG_Scen_Base","55","22.3","22.8","226","174","251","2773","2134","3080"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","213526","2010","PM2.5","WHO_2021_AQG_Scen_Base","55","20.5","20.5","197","151","219","2444","1877","2717"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","213861","2011","PM2.5","WHO_2021_AQG_Scen_Base","55","22.3","22.5","223","171","247","2716","2089","3017"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","214414","2012","PM2.5","WHO_2021_AQG_Scen_Base","55","19.1","19.4","192","147","214","2311","1773","2571"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","214761","2013","PM2.5","WHO_2021_AQG_Scen_Base","55","18.3","18.7","184","141","205","2215","1699","2466"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","214997","2014","PM2.5","WHO_2021_AQG_Scen_Base","55","16.0","16.3","152","116","169","1807","1382","2013"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","215184","2015","PM2.5","WHO_2021_AQG_Scen_Base","55","21.8","22.1","236","181","262","2754","2118","3060"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","215321","2016","PM2.5","WHO_2021_AQG_Scen_Base","55","20.9","21.3","223","171","248","2573","1977","2860"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","215499","2017","PM2.5","WHO_2021_AQG_Scen_Base","55","20.7","21.1","229","176","255","2588","1989","2877"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","215602","2018","PM2.5","WHO_2021_AQG_Scen_Base","55","20.4","20.8","225","173","250","2563","1969","2849"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","217065","2019","PM2.5","WHO_2021_AQG_Scen_Base","55","18.2","18.6","195","150","217","2211","1695","2460"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","218625","2020","PM2.5","WHO_2021_AQG_Scen_Base","55","16.8","17.1","206","157","229","1975","1512","2199"
"Urban Centres (grid)","Slovenia","Ljubljana","GEOSTAT11_552","219993","2021","PM2.5","WHO_2021_AQG_Scen_Base","55","16.7","17.2","207","159","231","1989","1523","2215"
