City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","8665203","2005","PM2.5","WHO_2021_AQG_Scen_Base","1281","17.8","18.7","6774","5195","7538","80790","61952","89904"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","8785606","2007","PM2.5","WHO_2021_AQG_Scen_Base","1281","15.6","15.9","5408","4137","6027","68561","52437","76391"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","8835589","2008","PM2.5","WHO_2021_AQG_Scen_Base","1281","16.6","17.0","6044","4628","6730","75707","57957","84311"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","8882947","2009","PM2.5","WHO_2021_AQG_Scen_Base","1281","19.1","20.1","7618","5849","8471","95769","73534","106500"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","8925551","2010","PM2.5","WHO_2021_AQG_Scen_Base","1281","18.9","19.4","7320","5616","8144","92452","70933","102849"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","8969706","2011","PM2.5","WHO_2021_AQG_Scen_Base","1281","18.8","19.6","7367","5654","8195","94652","72647","105282"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9010877","2012","PM2.5","WHO_2021_AQG_Scen_Base","1280","18.0","18.9","7350","5638","8179","89408","68582","99475"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9055511","2013","PM2.5","WHO_2021_AQG_Scen_Base","1281","17.8","18.3","7065","5416","7863","86426","66251","96188"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9133592","2014","PM2.5","WHO_2021_AQG_Scen_Base","1281","13.1","13.5","4524","3453","5049","56930","43449","63497"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9173928","2015","PM2.5","WHO_2021_AQG_Scen_Base","1281","14.0","15.3","5784","4424","6445","68172","52134","75962"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9198804","2016","PM2.5","WHO_2021_AQG_Scen_Base","1280","13.5","14.3","5252","4010","5854","62439","47691","69615"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9222470","2017","PM2.5","WHO_2021_AQG_Scen_Base","1281","12.3","13.1","4668","3561","5208","54130","41299","60385"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9252339","2018","PM2.5","WHO_2021_AQG_Scen_Base","1281","12.7","13.7","5001","3819","5578","57994","44272","64676"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9273245","2019","PM2.5","WHO_2021_AQG_Scen_Base","1280","11.2","11.6","3858","2940","4307","44837","34158","50054"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9292924","2020","PM2.5","WHO_2021_AQG_Scen_Base","1281","9.9","10.3","3403","2590","3802","36328","27642","40581"
"Urban Centres (grid)","France","Paris","GEOSTAT11_450","9339374","2021","PM2.5","WHO_2021_AQG_Scen_Base","1281","11.5","11.7","4376","3334","4885","46706","35583","52135"
