City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","PM2.5","WHO_2021_AQG_Scen_Base","303","22.2","22.9","1944","1496","2159","24876","19146","27631"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707661","2007","PM2.5","WHO_2021_AQG_Scen_Base","303","20.7","20.7","1767","1359","1965","23029","17689","25603"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707219","2008","PM2.5","WHO_2021_AQG_Scen_Base","302","24.6","24.8","2202","1697","2445","28682","22112","31833"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","PM2.5","WHO_2021_AQG_Scen_Base","302","22.7","23.2","2075","1597","2303","26654","20520","29603"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","PM2.5","WHO_2021_AQG_Scen_Base","303","29.1","29.3","2670","2066","2957","34748","26896","38490"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704848","2011","PM2.5","WHO_2021_AQG_Scen_Base","302","27.5","27.6","2489","1924","2760","33000","25506","36579"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704898","2012","PM2.5","WHO_2021_AQG_Scen_Base","303","27.1","27.5","2544","1966","2819","33201","25657","36805"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","PM2.5","WHO_2021_AQG_Scen_Base","303","24.4","24.6","2263","1744","2512","29247","22543","32462"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","PM2.5","WHO_2021_AQG_Scen_Base","303","25.6","25.9","2335","1802","2591","30844","23803","34216"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","PM2.5","WHO_2021_AQG_Scen_Base","303","25.1","25.7","2450","1890","2718","31212","24083","34626"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","PM2.5","WHO_2021_AQG_Scen_Base","303","22.7","23.2","2133","1642","2370","28079","21616","31185"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","PM2.5","WHO_2021_AQG_Scen_Base","302","23.1","23.6","2267","1746","2518","28713","22114","31885"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","PM2.5","WHO_2021_AQG_Scen_Base","303","22.7","23.1","2271","1748","2522","28321","21803","31454"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","PM2.5","WHO_2021_AQG_Scen_Base","302","20.1","20.6","1964","1509","2183","24923","19147","27709"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","PM2.5","WHO_2021_AQG_Scen_Base","302","18.5","18.9","2051","1573","2282","23337","17897","25969"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","PM2.5","WHO_2021_AQG_Scen_Base","303","20.7","21.2","2586","1987","2874","28368","21801","31533"
