City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","671002","2005","PM2.5","WHO_2021_AQG_Scen_Base","119","27.7","27.8","1205","932","1336","13160","10173","14587"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","671418","2007","PM2.5","WHO_2021_AQG_Scen_Base","119","20.4","20.4","851","653","946","9270","7119","10309"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","671175","2008","PM2.5","WHO_2021_AQG_Scen_Base","119","19.9","20.0","823","631","915","9221","7078","10256"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","670836","2009","PM2.5","WHO_2021_AQG_Scen_Base","119","22.4","22.6","964","742","1071","10561","8126","11732"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","669755","2010","PM2.5","WHO_2021_AQG_Scen_Base","119","22.1","22.1","937","721","1041","10241","7876","11380"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","667733","2011","PM2.5","WHO_2021_AQG_Scen_Base","119","23.4","23.4","982","756","1091","10808","8322","12002"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","665573","2012","PM2.5","WHO_2021_AQG_Scen_Base","119","18.1","18.1","724","555","806","7847","6013","8734"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","663419","2013","PM2.5","WHO_2021_AQG_Scen_Base","119","19.6","19.7","784","601","872","8529","6545","9487"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","661032","2014","PM2.5","WHO_2021_AQG_Scen_Base","119","18.7","18.7","744","570","828","8051","6173","8959"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","657687","2015","PM2.5","WHO_2021_AQG_Scen_Base","119","21.2","21.3","935","719","1039","9546","7337","10611"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","652294","2016","PM2.5","WHO_2021_AQG_Scen_Base","119","24.2","24.5","1046","806","1161","11000","8478","12210"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","646619","2017","PM2.5","WHO_2021_AQG_Scen_Base","119","21.5","21.6","941","723","1046","9587","7370","10655"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","639036","2018","PM2.5","WHO_2021_AQG_Scen_Base","119","22.0","22.2","952","732","1058","9846","7573","10941"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","634483","2019","PM2.5","WHO_2021_AQG_Scen_Base","119","17.6","17.7","706","541","787","7418","5682","8258"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","631669","2020","PM2.5","WHO_2021_AQG_Scen_Base","119","17.6","17.8","787","603","876","7704","5902","8577"
"Urban Centres (grid)","Croatia","Zagreb","GEOSTAT11_561","628274","2021","PM2.5","WHO_2021_AQG_Scen_Base","119","17.8","17.9","791","606","881","7748","5936","8625"
