City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","66949","2005","NO2","WHO_2021_AQG_Scen_Base","17","20.0","22.4","15","8","30","158","80","308"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","66949","2005","O3","WHO_2021_AQG_Scen_Base","17","7645.4","7580.5","6","4","7","61","48","73"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","66949","2005","PM10","WHO_2021_AQG_Scen_Base","17","29.5","30.0","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","66949","2005","PM2.5","WHO_2021_AQG_Scen_Base","17","17.8","18.1","60","46","67","623","477","693"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","67168","2006","O3","WHO_2021_AQG_Scen_Base","17","7193.5","7150.1","5","4","6","58","46","70"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","67168","2006","PM10","WHO_2021_AQG_Scen_Base","17","24.8","25.0","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","67353","2007","O3","WHO_2021_AQG_Scen_Base","17","6253.5","6227.5","5","4","6","51","40","62"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","67353","2007","PM10","WHO_2021_AQG_Scen_Base","17","25.2","25.5","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","67353","2007","PM2.5","WHO_2021_AQG_Scen_Base","17","15.3","15.6","49","37","55","519","397","578"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","67849","2008","O3","WHO_2021_AQG_Scen_Base","17","5270.7","5199.3","4","3","5","43","34","52"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","67849","2008","PM10","WHO_2021_AQG_Scen_Base","17","23.2","23.5","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","67849","2008","PM2.5","WHO_2021_AQG_Scen_Base","17","12.6","12.8","38","29","42","394","300","439"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68251","2009","NO2","WHO_2021_AQG_Scen_Base","17","15.7","17.0","9","5","18","94","47","184"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68251","2009","O3","WHO_2021_AQG_Scen_Base","17","6439.3","6405.9","5","4","6","54","43","65"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68251","2009","PM10","WHO_2021_AQG_Scen_Base","17","21.6","21.6","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68251","2009","PM2.5","WHO_2021_AQG_Scen_Base","17","12.6","12.7","37","28","42","391","298","436"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68470","2010","NO2","WHO_2021_AQG_Scen_Base","17","13.9","15.8","7","4","15","78","39","153"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68470","2010","O3","WHO_2021_AQG_Scen_Base","17","5980.2","5996.5","5","4","6","50","40","61"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68470","2010","PM10","WHO_2021_AQG_Scen_Base","17","20.0","20.1","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68470","2010","PM2.5","WHO_2021_AQG_Scen_Base","17","9.3","9.3","21","16","24","223","170","250"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68672","2011","O3","WHO_2021_AQG_Scen_Base","17","5336.4","5268.4","4","3","5","45","35","54"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68672","2011","PM10","WHO_2021_AQG_Scen_Base","17","21.7","22.0","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68672","2011","PM2.5","WHO_2021_AQG_Scen_Base","17","12.8","12.9","39","29","43","409","312","457"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68707","2012","O3","WHO_2021_AQG_Scen_Base","17","5189.8","5086.0","4","3","5","43","34","52"
